material_description,material_type,eoq_units,reorder_point_units,avg_inventory_units,avg_lead_time_days,inventory_turnover,avg_inventory_value,carrying_cost,currency_code
(RI) 1,raw_material,0.0,0.0,5.6,8.7,,3918.88,783.7760000000001,USD
10 Span Cab Svgn CC,raw_material,0.0,0.0,5.5,8.0,,82.39,16.478,USD
10 Span Chard CC,raw_material,0.0,0.0,9.5,7.0,,71.155,14.231000000000002,USD
10 Span Pnt Gris Monterey Cy,raw_material,0.0,0.0,5.0,7.0,,37.45,7.490000000000001,USD
10 Span Pnt Nr CC,raw_material,0.0,0.0,4.25,8.0,,63.665,12.733,USD
1000 Stories Znfdl,raw_material,0.0,0.0,6.375,7.416666666666667,,1223.235,244.647,USD
13 Celsius Svgn Bl,raw_material,0.0,0.0,5.428571428571429,7.666666666666667,,1250.51,250.10200000000003,USD
14 Hands Cab Svgn Wash,raw_material,0.0,0.0,20.75,8.0,,1117.915,223.58300000000003,USD
14 Hands Chard Wash,raw_material,0.0,0.0,11.571428571428571,7.571428571428571,,1454.84,290.968,USD
14 Hands Hot to Trot Red,raw_material,0.0,0.0,21.5,7.666666666666667,,1067.67,213.534,USD
14 Hands Hot to Trot White,raw_material,0.0,0.0,8.0,7.125,,575.36,115.072,USD
14 Hands Merlot Wash,raw_material,0.0,0.0,9.8,7.0,,440.01,88.00200000000001,USD
14 Hands Moscato,raw_material,0.0,0.0,3.5,10.0,,31.465,6.293,USD
14 Hands Pinot Grigio,raw_material,0.0,0.0,10.11111111111111,7.777777777777778,,750.13,150.026,USD
14 Hands Red Blend Stampede,raw_material,0.0,0.0,3.65,8.133333333333333,,1093.905,218.781,USD
14 Hands Rsl Wash,raw_material,0.0,0.0,4.0,10.0,,39.96,7.992000000000001,USD
14 Hands Svgn Bl,raw_material,0.0,0.0,9.714285714285714,8.428571428571429,,611.3199999999999,122.26400000000001,USD
1792 Full Proof Bourbon,raw_material,0.0,0.0,0.5,11.5,,45.99,9.198,USD
1792 Small Batch Bourbon,raw_material,0.0,0.0,4.5,5.0,,121.455,24.291,USD
1792 Small Batch Bourbon.,raw_material,0.0,0.0,5.705882352941177,7.9411764705882355,,2574.5299999999997,514.906,USD
1800 Anejo Tequila,raw_material,0.0,0.0,5.458333333333333,7.5,,2750.3450000000003,550.0690000000001,USD
1800 Coconut Tequila,raw_material,0.0,0.0,16.158536585365855,7.890243902439025,,6706.55,1341.31,USD
1800 Raspberry Margarita RTD,raw_material,0.0,0.0,4.05,7.575,,2752.3799999999997,550.476,USD
1800 Reposado Gold Tequila,raw_material,0.0,0.0,11.9453125,7.859375,,12843.305,2568.661,USD
1800 Silver Tequila,raw_material,0.0,0.0,14.804597701149426,7.816091954022989,,7667.47,1533.4940000000001,USD
1800 Silver w/ Shot Glasses,raw_material,0.0,0.0,0.7166666666666667,7.0,,472.78499999999997,94.557,USD
1800 Ultimate Margarita RTD,raw_material,0.0,0.0,6.375,8.416666666666666,,1529.235,305.84700000000004,USD
1800 Ultimate Peach Margrita,raw_material,0.0,0.0,6.8125,7.708333333333333,,3268.365,653.673,USD
19 Crimes Cab Svgn,raw_material,0.0,0.0,6.8076923076923075,8.23076923076923,,884.115,176.823,USD
19 Crimes Red,raw_material,0.0,0.0,8.25,6.5,,131.175,26.235000000000003,USD
19 Crimes The Banished Red,raw_material,0.0,0.0,53.1,6.3,,6897.6900000000005,1379.538,USD
19 Crimes Warden Red,raw_material,0.0,0.0,3.3333333333333335,11.0,,249.89999999999998,49.980000000000004,USD
2 Copas Spain Red,raw_material,0.0,0.0,11.5,7.0,,114.885,22.977000000000004,USD
2 Up McLaren Vale Shiraz,raw_material,0.0,0.0,12.0,7.0,,179.88,35.976,USD
20 Mile 09 Brdx Superior,raw_material,0.0,0.0,16.5,7.0,,1237.17,247.43400000000005,USD
24 Knots Pnt Nr,raw_material,0.0,0.0,5.666666666666667,6.333333333333333,,269.83,53.966,USD
260 Vodka,raw_material,0.0,0.0,15.142857142857142,7.857142857142857,,5933.879999999999,1186.776,USD
3 Ball Znfdl,raw_material,0.0,0.0,4.2727272727272725,9.318181818181818,,1221.06,244.21200000000002,USD
3 Blind Moose Cab Svgn Cal,raw_material,0.0,0.0,6.25,8.0,,224.75,44.95,USD
3 Blind Moose Chard Cal,raw_material,0.0,0.0,5.5,8.125,,395.56,79.112,USD
3 Blind Moose Merlot Cal,raw_material,0.0,0.0,5.2,8.6,,233.74,46.748,USD
3 Blind Moose Pnt Grigio Cal,raw_material,0.0,0.0,3.5,8.75,,125.86,25.172,USD
3 Brooms Svgn Bl Marlborough,raw_material,0.0,0.0,8.291666666666666,7.583333333333333,,1491.505,298.301,USD
360 Double Chocolate Vodka,raw_material,0.0,0.0,8.797619047619047,8.047619047619047,,4799.805,959.961,USD
3lenfiddich Solera 15 Yr RSV,raw_material,0.0,0.0,7.392857142857143,8.571428571428571,,5749.965,1149.9930000000002,USD
42 Below Pure Vodka,raw_material,0.0,0.0,6.0,3.0,,113.94,22.788,USD
44* North Huckleberry Vodka,raw_material,0.0,0.0,1.25,10.0,,56.224999999999994,11.245000000000001,USD
6 Degrees Chard,raw_material,0.0,0.0,9.5,7.0,,113.905,22.781000000000002,USD
99 Apples Schnapps Liqueur,raw_material,0.0,0.0,7.9375,6.9375,,1522.73,304.54600000000005,USD
99 Bananas,raw_material,0.0,0.0,7.666666666666667,8.222222222222221,,827.31,165.462,USD
99 Blackberries,raw_material,0.0,0.0,20.63953488372093,7.837209302325581,,3808.75,761.75,USD
"A Bichot ""Clos Marechaudes""",raw_material,0.0,0.0,1.0,9.0,,89.99,17.998,USD
A Bichot Adelie Mercury,raw_material,0.0,0.0,4.0,8.0,,135.96,27.192000000000004,USD
A Bichot Ch Gris Nuits 13 Ge,raw_material,0.0,0.0,1.6666666666666667,4.0,,399.95,79.99000000000001,USD
A Bichot Ch Gris Nuits St Ge,raw_material,0.0,0.0,0.5,7.0,,29.495,5.899000000000001,USD
A Bichot Chablis 14 Les Vauc,raw_material,0.0,0.0,1.5,11.166666666666666,,359.91,71.98200000000001,USD
A Bichot Chablis Les Clos 14,raw_material,0.0,0.0,1.8571428571428572,11.142857142857142,,909.87,181.974,USD
A Bichot Chablis Long Depaqt,raw_material,0.0,0.0,6.625,9.25,,953.4699999999999,190.69400000000002,USD
A Bichot Chard Bourgogne,raw_material,0.0,0.0,6.05,8.9,,967.395,193.479,USD
A Bichot Cremant Brut Rose,raw_material,0.0,0.0,5.142857142857143,8.0,,687.6399999999999,137.528,USD
A Bichot Macon-Villages,raw_material,0.0,0.0,6.428571428571429,8.857142857142858,,1169.1000000000001,233.82000000000002,USD
A Bichot Merc Champs Mart 14,raw_material,0.0,0.0,2.25,10.75,,359.91,71.982,USD
A Bichot Montagny 1er Cru 14,raw_material,0.0,0.0,2.25,9.75,,296.91,59.382000000000005,USD
A Bichot Morey St Denis 14 S,raw_material,0.0,0.0,1.6666666666666667,11.333333333333334,,364.95,72.99,USD
A Bichot Morgon Les Charmes,raw_material,0.0,0.0,9.2,9.4,,873.54,174.70799999999997,USD
A Bichot Pnt Nr Bourgogne,raw_material,0.0,0.0,5.678571428571429,8.714285714285714,,1271.205,254.241,USD
A Bichot Pouilly-Fuisse,raw_material,0.0,0.0,5.222222222222222,8.777777777777779,,986.53,197.306,USD
A Bichot Rochegres 14 Moulin,raw_material,0.0,0.0,2.85,11.1,,1310.715,262.14300000000003,USD
A Bichot Secret de Fam PN,raw_material,0.0,0.0,5.25,6.5,,209.89499999999998,41.979,USD
A Bichot St-Amour Champlette,raw_material,0.0,0.0,18.8125,9.125,,2857.995,571.599,USD
A Innocenti Nonni Cab Svgn,raw_material,0.0,0.0,6.0,8.0,,77.94,15.588000000000001,USD
A Portela Mencia,raw_material,0.0,0.0,11.5,7.0,,195.385,39.077,USD
A Proper Claret,raw_material,0.0,0.0,7.416666666666667,8.166666666666666,,711.5550000000001,142.311,USD
A Proper Pink,raw_material,0.0,0.0,3.0,7.0,,155.88,31.176000000000002,USD
A by Acacia Chard Cal,raw_material,0.0,0.0,8.0,6.8,,765.2,153.04000000000002,USD
A by Acacia Pnt Nr Cal,raw_material,0.0,0.0,11.85,7.7,,1657.815,331.56300000000005,USD
A by Acacia Unoaked Chard Ca,raw_material,0.0,0.0,9.7,6.6,,484.515,96.903,USD
A la Carte White,raw_material,0.0,0.0,11.5,4.0,,172.385,34.477,USD
A to Z Ore Chard,raw_material,0.0,0.0,9.842105263157896,8.736842105263158,,2846.63,569.326,USD
A to Z Pnt Gris Ore,raw_material,0.0,0.0,11.533333333333333,8.8,,2626.77,525.354,USD
A to Z Pnt Nr Ore,raw_material,0.0,0.0,14.590909090909092,9.363636363636363,,2769.8949999999995,553.9789999999999,USD
A to Z Rose,raw_material,0.0,0.0,6.5,9.0,,110.43499999999999,22.087,USD
A to Z Rsl,raw_material,0.0,0.0,0.0,9.0,,0.0,0.0,USD
Aberfeldy 12 Yr Single Malt,raw_material,0.0,0.0,3.111111111111111,8.0,,3825.1600000000003,765.032,USD
Aberfeldy 21 Yr Single Malt,raw_material,0.0,0.0,2.25,9.0,,719.955,143.991,USD
Aberfeldy Single Cask,raw_material,0.0,0.0,10.2,8.7,,24628.98,4925.796,USD
Aberlour 16 Year Old Single,raw_material,0.0,0.0,3.5384615384615383,7.769230769230769,,5411.58,1082.316,USD
Aberlour A'Bunadh Sngle Malt,raw_material,0.0,0.0,3.0084745762711864,7.711864406779661,,13310.724999999999,2662.145,USD
Aberlour Glenlivet 12 Yr,raw_material,0.0,0.0,4.1923076923076925,6.846153846153846,,2248.455,449.69100000000003,USD
Abraham Bowman Ltd Edition,raw_material,0.0,0.0,2.3333333333333335,10.0,,489.92999999999995,97.98599999999999,USD
Absente  Glass & Spoon Pack,raw_material,0.0,0.0,19.833333333333332,3.1666666666666665,,1426.81,285.362,USD
Absente 'Absinthe Refined',raw_material,0.0,0.0,5.261904761904762,7.238095238095238,,3755.895,751.1790000000001,USD
Absinthe Ordinaire,raw_material,0.0,0.0,4.25,7.166666666666667,,586.245,117.249,USD
Absolut 80 Proof,raw_material,0.0,0.0,31.5,7.352941176470588,,9103.394999999999,1820.6789999999999,USD
Absolut Apeach,raw_material,0.0,0.0,9.533333333333333,8.466666666666667,,2600.5699999999997,520.114,USD
Absolut Berri Acai,raw_material,0.0,0.0,7.722222222222222,7.777777777777778,,1250.3049999999998,250.06099999999998,USD
Absolut Cilantro,raw_material,0.0,0.0,1.0,6.0,,19.99,3.9979999999999998,USD
Absolut Citron,raw_material,0.0,0.0,14.68421052631579,7.947368421052632,,2540.21,508.042,USD
Absolut Elyx,raw_material,0.0,0.0,0.5,8.0,,22.495,4.4990000000000006,USD
Absolut Grapevine Vodka,raw_material,0.0,0.0,6.5,4.0,,116.93499999999999,23.387,USD
Absolut Mandrin,raw_material,0.0,0.0,18.303571428571427,8.5,,5780.875,1156.175,USD
Absolut Mini Bar 5/50mls,raw_material,0.0,0.0,74.875,8.0,,2383.005,476.60100000000006,USD
Absolut Pears,raw_material,0.0,0.0,8.166666666666666,7.555555555555555,,1322.2649999999999,264.453,USD
Absolut Peppar,raw_material,0.0,0.0,8.576923076923077,8.615384615384615,,2005.8849999999998,401.177,USD
Absolut Peppar Vodka,raw_material,0.0,0.0,0.5,12.0,,10.995,2.199,USD
Absolut Raspberri,raw_material,0.0,0.0,9.875,8.333333333333334,,2131.8149999999996,426.363,USD
Absolut Ruby Red,raw_material,0.0,0.0,11.666666666666666,8.333333333333334,,4936.049999999999,987.2099999999999,USD
Absolut Spark Vodka,raw_material,0.0,0.0,14.5,12.0,,260.85499999999996,52.17099999999999,USD
Absolut Vanilia,raw_material,0.0,0.0,21.105263157894736,8.157894736842104,,2793.99,558.798,USD
Acacia Winery Chard Carneros,raw_material,0.0,0.0,6.0,9.0,,143.94,28.788,USD
Acacia Winery Pnt Nr Carnero,raw_material,0.0,0.0,3.5,9.0,,97.96499999999999,19.593,USD
Acacia Winery Pnt Nr Lake,raw_material,0.0,0.0,3.75,8.0,,239.92499999999998,47.985,USD
Achaia Cellars Retsina,raw_material,0.0,0.0,6.75,11.5,,128.115,25.623,USD
Achaval Ferrer Cab Svgn,raw_material,0.0,0.0,1.5,6.0,,34.485,6.897,USD
Achaval Ferrer Malbec,raw_material,0.0,0.0,6.611111111111111,9.11111111111111,,1129.905,225.981,USD
Achaval Ferrer Quimera,raw_material,0.0,0.0,3.0,10.0,,68.97,13.794,USD
Acorn Alegria Vyds Cab Franc,raw_material,0.0,0.0,6.25,8.0,,337.375,67.475,USD
Acorn Cve Alegria Russ Syrah,raw_material,0.0,0.0,7.25,8.0,,391.35499999999996,78.27099999999999,USD
Acorn Dolcetto Alegria RRV,raw_material,0.0,0.0,10.5,9.0,,614.79,122.958,USD
Acorn Sangiovese Alegria RRV,raw_material,0.0,0.0,7.5,6.4,,1015.1249999999999,203.025,USD
Acquese Moscato D'Asti Dolc,raw_material,0.0,0.0,5.125,8.0,,245.79500000000002,49.159000000000006,USD
Acrobat Pnt Gris Oregon,raw_material,0.0,0.0,13.75,8.375,,1428.9,285.78,USD
Acrobat Pnt Nr Ore,raw_material,0.0,0.0,21.363636363636363,7.636363636363637,,4469.65,893.9300000000001,USD
Acrobat Rose Pnt Nr,raw_material,0.0,0.0,5.0,7.8,,349.75,69.95,USD
Actum Sinister,raw_material,0.0,0.0,11.5,7.0,,103.385,20.677000000000003,USD
