po_id,order_date_key,delivery_date_key,supplier_key,item_category_key,order_status_key,compliance_key,quantity,unit_price,negotiated_price,defective_units,defective_units_filled,defective_units_missing,gross_po_value,negotiated_po_value,realized_savings,savings_rate_pct,defect_rate_pct,defective_cost_exposure,procurement_lead_time_days,non_compliant_flag,spend_at_risk,order_status_risk,currency_code,supplier,supplier_risk_score,supplier_segment,item_category,order_status,compliance,order_date,delivery_date
PO-00001,20231017,20231025,1,3,1,2,1176.0,20.13,17.81,,0.0,1,23672.879999999997,20944.559999999998,2728.3199999999997,0.11525086934923001,0.0,0.0,8.0,0,0.0,1.0,USD,Alpha_Inc,0.15765834625800831,Strategic,Office Supplies,Cancelled,Yes,2023-10-17,2023-10-25
PO-00002,20220425,20220505,3,3,2,2,1509.0,39.32,37.34,235.0,235.0,0,59333.88,56346.060000000005,2987.8199999999924,0.05035605289928777,0.15573227302849568,8774.900000000001,10.0,0,0.0,0.0,USD,Delta_Logistics,0.9031805225144132,Governance Risk,Office Supplies,Delivered,Yes,2022-04-25,2022-05-05
PO-00003,20220126,20220215,5,2,2,2,910.0,95.51,92.26,41.0,41.0,0,86914.1,83956.6,2957.5,0.03402785048686001,0.045054945054945054,3782.6600000000003,20.0,0,0.0,0.0,USD,Gamma_Co,0.19054963293128563,Strategic,MRO,Delivered,Yes,2022-01-26,2022-02-15
PO-00004,20221009,20221028,2,4,2,2,1344.0,99.85,95.52,112.0,112.0,0,134198.4,128378.87999999999,5819.520000000004,0.04336504757135707,0.08333333333333333,10698.24,19.0,0,0.0,0.0,USD,Beta_Supplies,0.7578537370694345,Governance Risk,Packaging,Delivered,Yes,2022-10-09,2022-10-28
PO-00005,20220908,20220920,3,5,2,1,1180.0,64.07,60.53,171.0,171.0,0,75602.59999999999,71425.4,4177.199999999997,0.055252068050569654,0.14491525423728813,10350.630000000001,12.0,1,71425.4,0.0,USD,Delta_Logistics,0.9031805225144132,Governance Risk,Raw Materials,Delivered,No,2022-09-08,2022-09-20
PO-00006,20220817,20220829,4,2,2,2,1145.0,69.21,63.57,39.0,39.0,0,79245.45,72787.65,6457.800000000003,0.08149111400086696,0.03406113537117904,2479.23,12.0,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,MRO,Delivered,Yes,2022-08-17,2022-08-29
PO-00007,20220523,20220603,5,2,2,1,1774.0,51.37,47.82,96.0,96.0,0,91130.37999999999,84832.68000000001,6297.6999999999825,0.06910648238271347,0.05411499436302142,4590.72,11.0,1,84832.68000000001,0.0,USD,Gamma_Co,0.19054963293128563,Strategic,MRO,Delivered,No,2022-05-23,2022-06-03
PO-00008,20220415,20220429,1,2,2,2,1094.0,36.93,32.78,22.0,22.0,0,40401.42,35861.32,4540.0999999999985,0.11237476306525856,0.02010968921389397,721.1600000000001,14.0,0,0.0,0.0,USD,Alpha_Inc,0.15765834625800831,Strategic,MRO,Delivered,Yes,2022-04-15,2022-04-29
PO-00009,20231124,20231128,5,5,3,2,1688.0,43.93,39.89,89.0,89.0,0,74153.84,67334.32,6819.5199999999895,0.09196448895970849,0.052725118483412325,3550.21,4.0,0,0.0,0.7,USD,Gamma_Co,0.19054963293128563,Strategic,Raw Materials,Partially Delivered,Yes,2023-11-24,2023-11-28
PO-00010,20230713,20230725,5,5,4,2,171.0,76.87,70.2,8.0,8.0,0,13144.77,12004.2,1140.5699999999997,0.08676987121113566,0.04678362573099415,561.6,12.0,0,0.0,0.5,USD,Gamma_Co,0.19054963293128563,Strategic,Raw Materials,Pending,Yes,2023-07-13,2023-07-25
PO-00011,20220331,20220415,4,5,2,2,5000.0,78.49,73.68,18.0,18.0,0,392450.0,368400.00000000006,24049.99999999994,0.06128169193527823,0.0036,1326.2400000000002,15.0,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,Raw Materials,Delivered,Yes,2022-03-31,2022-04-15
PO-00012,20230828,20230911,2,5,2,2,5000.0,88.96,86.58,115.0,115.0,0,444799.99999999994,432900.0,11899.999999999942,0.02675359712230203,0.023,9956.699999999999,14.0,0,0.0,0.0,USD,Beta_Supplies,0.7578537370694345,Governance Risk,Raw Materials,Delivered,Yes,2023-08-28,2023-09-11
PO-00013,20230309,20230326,2,1,4,2,5000.0,86.74,74.86,51.0,51.0,0,433700.0,374300.0,59400.0,0.13696103297210052,0.0102,3817.86,17.0,0,0.0,0.5,USD,Beta_Supplies,0.7578537370694345,Governance Risk,Electronics,Pending,Yes,2023-03-09,2023-03-26
PO-00014,20220202,,2,2,2,2,5000.0,18.3,16.88,,0.0,1,91500.0,84400.0,7100.0,0.07759562841530054,0.0,0.0,,0,0.0,0.0,USD,Beta_Supplies,0.7578537370694345,Governance Risk,MRO,Delivered,Yes,2022-02-02,
PO-00015,20220131,20220218,3,1,4,2,5000.0,54.5,48.45,22.0,22.0,0,272500.0,242250.0,30250.0,0.11100917431192661,0.0044,1065.9,18.0,0,0.0,0.5,USD,Delta_Logistics,0.9031805225144132,Governance Risk,Electronics,Pending,Yes,2022-01-31,2022-02-18
PO-00016,20220406,20220421,2,4,2,2,5000.0,15.41,15.12,,0.0,1,77050.0,75600.0,1450.0,0.01881894873458793,0.0,0.0,15.0,0,0.0,0.0,USD,Beta_Supplies,0.7578537370694345,Governance Risk,Packaging,Delivered,Yes,2022-04-06,2022-04-21
PO-00017,20220812,20220831,3,2,2,1,1173.0,61.54,55.49,172.0,172.0,0,72186.42,65089.770000000004,7096.649999999994,0.0983100422489437,0.1466325660699062,9544.28,19.0,1,65089.770000000004,0.0,USD,Delta_Logistics,0.9031805225144132,Governance Risk,MRO,Delivered,No,2022-08-12,2022-08-31
PO-00018,20220827,20220904,4,5,2,2,921.0,51.48,50.61,,0.0,1,47413.079999999994,46611.81,801.2699999999968,0.016899766899766834,0.0,0.0,8.0,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,Raw Materials,Delivered,Yes,2022-08-27,2022-09-04
PO-00019,20230602,20230605,5,5,3,2,1737.0,97.53,87.37,79.0,79.0,0,169409.61000000002,151761.69,17647.920000000013,0.1041730749512971,0.04548071387449626,6902.2300000000005,3.0,0,0.0,0.7,USD,Gamma_Co,0.19054963293128563,Strategic,Raw Materials,Partially Delivered,Yes,2023-06-02,2023-06-05
PO-00020,20230909,20230924,3,5,2,1,180.0,45.74,38.89,,0.0,1,8233.2,7000.2,1233.000000000001,0.14975951027547016,0.0,0.0,15.0,1,7000.2,0.0,USD,Delta_Logistics,0.9031805225144132,Governance Risk,Raw Materials,Delivered,No,2023-09-09,2023-09-24
PO-00021,20220128,20220212,4,1,1,2,1735.0,20.54,19.69,49.0,49.0,0,35636.9,34162.15,1474.75,0.04138266796494645,0.02824207492795389,964.8100000000001,15.0,0,0.0,1.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,Electronics,Cancelled,Yes,2022-01-28,2022-02-12
PO-00022,20230729,20230811,3,5,2,2,1382.0,24.93,23.75,,0.0,1,34453.26,32822.5,1630.760000000002,0.04733253108704378,0.0,0.0,13.0,0,0.0,0.0,USD,Delta_Logistics,0.9031805225144132,Governance Risk,Raw Materials,Delivered,Yes,2023-07-29,2023-08-11
PO-00023,20220723,20220808,4,2,2,2,819.0,80.89,77.03,29.0,29.0,0,66248.91,63087.57,3161.340000000004,0.04771912473729762,0.03540903540903541,2233.87,16.0,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,MRO,Delivered,Yes,2022-07-23,2022-08-08
PO-00024,20231028,20231103,2,3,3,1,393.0,72.53,66.31,42.0,42.0,0,28504.29,26059.83,2444.459999999999,0.08575761753757062,0.10687022900763359,2785.02,6.0,1,26059.83,0.7,USD,Beta_Supplies,0.7578537370694345,Governance Risk,Office Supplies,Partially Delivered,No,2023-10-28,2023-11-03
PO-00025,20231220,20240101,2,2,2,2,1565.0,21.3,20.09,161.0,161.0,0,33334.5,31440.85,1893.6500000000015,0.05680751173708925,0.10287539936102237,3234.49,12.0,0,0.0,0.0,USD,Beta_Supplies,0.7578537370694345,Governance Risk,MRO,Delivered,Yes,2023-12-20,2024-01-01
PO-00026,20230713,20230724,4,4,2,2,1487.0,19.15,17.24,,0.0,1,28476.05,25635.879999999997,2840.170000000002,0.09973890339425594,0.0,0.0,11.0,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,Packaging,Delivered,Yes,2023-07-13,2023-07-24
PO-00027,20230306,20230326,1,2,2,2,855.0,78.2,67.16,17.0,17.0,0,66861.0,57421.799999999996,9439.200000000004,0.14117647058823535,0.019883040935672516,1141.72,20.0,0,0.0,0.0,USD,Alpha_Inc,0.15765834625800831,Strategic,MRO,Delivered,Yes,2023-03-06,2023-03-26
PO-00028,20220814,20220823,4,5,2,2,435.0,17.13,15.84,8.0,8.0,0,7451.549999999999,6890.4,561.1499999999996,0.07530647985989487,0.01839080459770115,126.72,9.0,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,Raw Materials,Delivered,Yes,2022-08-14,2022-08-23
PO-00029,20230405,20230422,3,2,2,2,1265.0,90.26,79.47,187.0,187.0,0,114178.90000000001,100529.55,13649.350000000006,0.11954354088189678,0.14782608695652175,14860.89,17.0,0,0.0,0.0,USD,Delta_Logistics,0.9031805225144132,Governance Risk,MRO,Delivered,Yes,2023-04-05,2023-04-22
PO-00030,20230827,,4,2,2,2,1005.0,80.55,73.31,30.0,30.0,0,80952.75,73676.55,7276.199999999997,0.08988206083178146,0.029850746268656716,2199.3,,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,MRO,Delivered,Yes,2023-08-27,
PO-00031,20221012,20221026,5,1,2,1,326.0,18.1,15.92,,0.0,1,5900.6,5189.92,710.6800000000003,0.12044198895027629,0.0,0.0,14.0,1,5189.92,0.0,USD,Gamma_Co,0.19054963293128563,Strategic,Electronics,Delivered,No,2022-10-12,2022-10-26
PO-00032,20220107,20220115,1,3,2,2,1234.0,17.64,15.66,26.0,26.0,0,21767.760000000002,19324.44,2443.3200000000033,0.11224489795918381,0.02106969205834684,407.16,8.0,0,0.0,0.0,USD,Alpha_Inc,0.15765834625800831,Strategic,Office Supplies,Delivered,Yes,2022-01-07,2022-01-15
PO-00033,20220613,20220629,4,2,2,2,509.0,101.27,97.82,19.0,19.0,0,51546.43,49790.38,1756.050000000003,0.034067344722030275,0.03732809430255403,1858.58,16.0,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,MRO,Delivered,Yes,2022-06-13,2022-06-29
PO-00034,20231216,20231217,1,4,2,2,1387.0,48.71,43.71,27.0,27.0,0,67560.77,60625.770000000004,6935.0,0.10264832683227262,0.01946647440519106,1180.17,1.0,0,0.0,0.0,USD,Alpha_Inc,0.15765834625800831,Strategic,Packaging,Delivered,Yes,2023-12-16,2023-12-17
PO-00035,20230309,20230317,1,2,2,2,71.0,46.39,43.18,0.0,0.0,0,3293.69,3065.78,227.90999999999985,0.06919594740245738,0.0,0.0,8.0,0,0.0,0.0,USD,Alpha_Inc,0.15765834625800831,Strategic,MRO,Delivered,Yes,2023-03-09,2023-03-17
PO-00036,20221215,20221223,4,3,2,2,302.0,87.73,81.52,9.0,9.0,0,26494.460000000003,24619.039999999997,1875.4200000000055,0.07078536418556956,0.029801324503311258,733.68,8.0,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,Office Supplies,Delivered,Yes,2022-12-15,2022-12-23
PO-00037,20221012,20221031,4,3,4,2,797.0,99.54,91.37,18.0,18.0,0,79333.38,72821.89,6511.490000000005,0.08207755676110112,0.02258469259723965,1644.66,19.0,0,0.0,0.5,USD,Epsilon_Group,0.29372221218512873,Cost Trap,Office Supplies,Pending,Yes,2022-10-12,2022-10-31
PO-00038,20220609,20220627,2,3,4,2,906.0,101.21,90.9,94.0,94.0,0,91696.26,82355.40000000001,9340.859999999986,0.10186740440667903,0.10375275938189846,8544.6,18.0,0,0.0,0.5,USD,Beta_Supplies,0.7578537370694345,Governance Risk,Office Supplies,Pending,Yes,2022-06-09,2022-06-27
PO-00039,20220809,20220823,4,3,2,2,1634.0,80.53,76.15,50.0,50.0,0,131586.02,124429.1,7156.919999999984,0.05438966844654154,0.030599755201958383,3807.5000000000005,14.0,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,Office Supplies,Delivered,Yes,2022-08-09,2022-08-23
PO-00040,20221211,,4,3,2,2,524.0,46.28,39.65,14.0,14.0,0,24250.72,20776.6,3474.1200000000026,0.14325842696629223,0.026717557251908396,555.1,,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,Office Supplies,Delivered,Yes,2022-12-11,
PO-00041,20220415,20220427,2,1,2,2,1132.0,17.78,15.36,96.0,96.0,0,20126.960000000003,17387.52,2739.4400000000023,0.13610798650168737,0.08480565371024736,1474.56,12.0,0,0.0,0.0,USD,Beta_Supplies,0.7578537370694345,Governance Risk,Electronics,Delivered,Yes,2022-04-15,2022-04-27
PO-00042,20220405,20220414,2,3,2,1,560.0,81.14,77.87,34.0,34.0,0,45438.4,43607.200000000004,1831.199999999997,0.04030071481390183,0.060714285714285714,2647.58,9.0,1,43607.200000000004,0.0,USD,Beta_Supplies,0.7578537370694345,Governance Risk,Office Supplies,Delivered,No,2022-04-05,2022-04-14
PO-00043,20230125,20230202,5,1,2,2,1755.0,63.87,58.4,85.0,85.0,0,112091.84999999999,102492.0,9599.849999999991,0.0856427117582589,0.04843304843304843,4964.0,8.0,0,0.0,0.0,USD,Gamma_Co,0.19054963293128563,Strategic,Electronics,Delivered,Yes,2023-01-25,2023-02-02
PO-00044,20220410,20220417,4,2,2,2,1549.0,48.9,42.42,48.0,48.0,0,75746.09999999999,65708.58,10037.51999999999,0.13251533742331276,0.030987734021949646,2036.16,7.0,0,0.0,0.0,USD,Epsilon_Group,0.29372221218512873,Cost Trap,MRO,Delivered,Yes,2022-04-10,2022-04-17
PO-00045,20230103,20230121,3,2,2,2,749.0,97.07,94.16,123.0,123.0,0,72705.43,70525.84,2179.5899999999965,0.029978366127536783,0.16421895861148197,11581.68,18.0,0,0.0,0.0,USD,Delta_Logistics,0.9031805225144132,Governance Risk,MRO,Delivered,Yes,2023-01-03,2023-01-21
