feature,importance
gross_margin,0.9884382338959253
costs,0.0009348646307198988
gross_margin_pct,0.0007679263003673029
stock_levels,0.0007181702635006958
production_volumes,0.0007148683103346519
revenue_per_unit,0.0005885862844124022
manufacturing_costs,0.0005317337424039012
shipping_times,0.0005199887111496324
order_quantities,0.00046189446033864824
manufacturing_lead_time,0.0004488300609215698
price,0.00042866602265927904
availability,0.0004236089102753356
shipping_costs,0.00040231953462747456
defect_rates,0.00040189871232290995
cost_per_unit,0.000380100774605616
lead_times,0.0003180086208704987
lead_time,0.00031611752602955453
supplier_name_Supplier 2,0.0002876551456239903
number_of_products_sold,0.00022496322178348836
routes_Route A,0.00022202916817915056
routes_Route B,0.00020965494969644796
location_Mumbai,0.00019077899204424347
supplier_name_Supplier 1,0.00017919237708916358
customer_demographics_Female,0.0001615796345246979
location_Bangalore,0.00013762791341673014
location_Chennai,0.00011906534938045705
shipping_carriers_Carrier B,0.00010835369638798089
supplier_name_Supplier 5,9.783010079941228e-05
customer_demographics_Unknown,8.44431207043993e-05
transportation_modes_Rail,7.722180807505609e-05
inspection_results_Fail,7.595940875759707e-05
inspection_results_Pass,7.48500511046764e-05
transportation_modes_Sea,6.892185836095546e-05
sku_SKU47,6.744123579951101e-05
shipping_carriers_Carrier C,6.154985448104675e-05
inspection_results_Pending,6.108610214277313e-05
shipping_carriers_Carrier A,6.0376757744250185e-05
location_Kolkata,5.82893309579062e-05
product_type_skincare,4.7933467893987596e-05
product_type_haircare,4.63638492972212e-05
customer_demographics_Male,4.080755425714484e-05
sku_SKU41,3.807143067527125e-05
routes_Route C,3.8009511614073766e-05
customer_demographics_Non-binary,3.531708403207916e-05
sku_SKU21,3.398977738936489e-05
location_Delhi,3.33210409057964e-05
product_type_cosmetics,2.8760918668282304e-05
transportation_modes_Air,2.38207081078255e-05
supplier_name_Supplier 3,2.3559727025861035e-05
supplier_name_Supplier 4,2.2054748582192943e-05
transportation_modes_Road,2.0089805897980382e-05
sku_SKU59,1.582555278985551e-05
sku_SKU86,1.4297557507976066e-05
sku_SKU61,1.3791659211210791e-05
sku_SKU35,1.0185292846081198e-05
sku_SKU56,8.307175401732911e-06
sku_SKU87,7.42826936637317e-06
sku_SKU95,6.810069442206479e-06
sku_SKU57,6.721910306528293e-06
sku_SKU99,3.7588379503664368e-06
sku_SKU82,3.3408523485475585e-06
sku_SKU55,3.1672224662045016e-06
sku_SKU68,3.07599762732734e-06
sku_SKU25,3.0097870304823367e-06
sku_SKU51,2.9421110691326237e-06
sku_SKU16,2.735250626768849e-06
sku_SKU37,2.569502210850269e-06
sku_SKU81,2.445107981427403e-06
sku_SKU79,2.4032805249569486e-06
sku_SKU49,2.4008385392907344e-06
sku_SKU93,2.3044464711168605e-06
sku_SKU85,2.1316615639641953e-06
sku_SKU5,2.055928382579006e-06
sku_SKU20,1.5032387576959692e-06
sku_SKU15,1.3978684220682099e-06
sku_SKU63,1.2582584340341e-06
sku_SKU28,1.2547713866281107e-06
sku_SKU40,1.1210683161147863e-06
sku_SKU60,1.030477352449687e-06
sku_SKU52,9.341023332856491e-07
sku_SKU6,9.010171626312856e-07
sku_SKU62,8.600027463099012e-07
sku_SKU36,8.153977028308747e-07
sku_SKU26,7.227716170529895e-07
sku_SKU11,7.04148179190193e-07
sku_SKU2,6.32994418041698e-07
sku_SKU65,6.02711176895178e-07
sku_SKU50,5.789336041816534e-07
sku_SKU96,5.293186647753995e-07
sku_SKU89,5.129093402874686e-07
sku_SKU69,4.994422412406498e-07
sku_SKU78,4.942069875957667e-07
sku_SKU7,4.411079109587438e-07
sku_SKU97,4.135206125649563e-07
sku_SKU94,3.791717684199803e-07
sku_SKU29,3.2278828504944774e-07
sku_SKU27,3.1037085283173406e-07
sku_SKU3,2.908026247244034e-07
sku_SKU71,2.8987226916959364e-07
sku_SKU8,2.5481261866260874e-07
sku_SKU32,2.3730291605212935e-07
sku_SKU13,2.3251942869503578e-07
sku_SKU19,2.1148660783044613e-07
sku_SKU91,1.9941223346761718e-07
sku_SKU14,1.8346615210299852e-07
sku_SKU43,1.4766845945408205e-07
sku_SKU58,1.3216163922417513e-07
sku_SKU66,1.2886991689094676e-07
sku_SKU17,1.266075815347666e-07
sku_SKU54,1.2533327407974364e-07
sku_SKU42,1.111805176843109e-07
sku_SKU67,9.680249710621118e-08
sku_SKU64,8.098236773213667e-08
sku_SKU1,7.766266442489209e-08
sku_SKU46,6.190945269921461e-08
sku_SKU92,5.5231982231577645e-08
sku_SKU84,5.486627349060902e-08
sku_SKU98,5.111880516147474e-08
sku_SKU75,4.924506450885694e-08
sku_SKU72,3.42694548536502e-08
sku_SKU48,2.5038811890596437e-08
sku_SKU74,1.424378990187527e-08
sku_SKU88,6.857685406164052e-09
sku_SKU34,3.2657578961275294e-09
sku_SKU24,1.3471659399842339e-09
sku_SKU23,2.8918338220534146e-10
sku_SKU73,0.0
location_nan,0.0
sku_SKU18,0.0
sku_SKU80,0.0
sku_SKU53,0.0
inspection_results_nan,0.0
sku_SKU12,0.0
sku_SKU45,0.0
sku_SKU77,0.0
sku_SKU10,0.0
transportation_modes_nan,0.0
sku_SKU76,0.0
sku_SKU0,0.0
product_type_nan,0.0
sku_SKU83,0.0
sku_nan,0.0
sku_SKU22,0.0
sku_SKU39,0.0
supplier_name_nan,0.0
sku_SKU44,0.0
sku_SKU9,0.0
sku_SKU90,0.0
sku_SKU30,0.0
shipping_carriers_nan,0.0
sku_SKU31,0.0
sku_SKU70,0.0
sku_SKU33,0.0
customer_demographics_nan,0.0
sku_SKU4,0.0
sku_SKU38,0.0
routes_nan,0.0
