feature,importance
num__unit_margin_proxy,0.12604595510986114
num__manufacturing_costs,0.08174642027863242
num__defect_cost_risk_proxy,0.056345676411215156
num__stock_cover_proxy,0.05362752704343875
num__availability,0.04636669280392547
num__stock_levels,0.044927254712107664
num__manufacturing_lead_time,0.03701674779741622
num__production_volumes,0.03564485015823051
num__shipping_costs,0.03411028345554946
num__defect_rates,0.027117252559632862
num__price,0.02659979435576418
num__defect_rate_scaled,0.026467152360268156
num__lead_time_diff,0.026145026956088998
num__demand_signal,0.02601740082229012
num__number_of_products_sold,0.024418527161185723
num__order_quantities,0.024414412655689475
num__shipping_times,0.02205894798136796
num__logistics_cost_per_unit,0.020638221434752288
num__lead_time_canonical,0.019586502262704638
num__total_logistics_cost,0.018760723772349573
num__lead_times,0.018619612083288828
num__costs,0.01810231868815645
num__lead_time,0.01593816842723136
num__total_manufacturing_cost,0.01502603613105213
num__total_cost_proxy,0.01422655076385492
cat__customer_demographics_Female,0.011860356578457585
cat__customer_demographics_Non-binary,0.008501882539722744
cat__transportation_modes_Sea,0.0065114396785399
cat__product_type_haircare,0.005819894163317229
cat__location_Kolkata,0.005690626609376727
cat__shipping_carriers_Carrier A,0.005042447463572087
cat__supplier_name_Supplier 1,0.00462902748361597
cat__product_type_cosmetics,0.0039418462804197175
cat__customer_demographics_Unknown,0.0037988947849925837
cat__location_Mumbai,0.0037770363505520792
cat__location_Delhi,0.0035453396140130277
cat__transportation_modes_Air,0.0034994380317802413
cat__routes_Route B,0.0031966309918437827
cat__location_Chennai,0.0026965673603499135
cat__routes_Route A,0.0026451277943315495
cat__sku_SKU27,0.0026398239564969354
cat__product_type_skincare,0.0025736513940431954
cat__supplier_name_Supplier 3,0.0025620700976845476
cat__shipping_carriers_Carrier C,0.002449618497272424
cat__inspection_results_Pending,0.0024445772073888273
cat__transportation_modes_Rail,0.0024413208765828314
cat__shipping_carriers_Carrier B,0.0024396798913609015
cat__sku_SKU86,0.0023613343487197316
cat__sku_SKU82,0.002249388515819022
cat__location_Bangalore,0.0022380812863118152
cat__supplier_name_Supplier 4,0.0022312722881636907
cat__sku_SKU66,0.002182718184406604
cat__supplier_name_Supplier 5,0.002074181702725541
cat__transportation_modes_Road,0.0019773501108783383
cat__inspection_results_Pass,0.0016861410632154844
cat__sku_SKU17,0.0016161286780707975
cat__inspection_results_Fail,0.0016035610389946576
cat__sku_SKU63,0.0015969368766516133
cat__supplier_name_Supplier 2,0.0014279417125329914
cat__customer_demographics_Male,0.0014099871567471568
cat__sku_SKU92,0.001331433945425775
cat__routes_Route C,0.0012493917380473874
cat__sku_SKU59,0.0012356224863011543
cat__sku_SKU57,0.001202054463942023
cat__sku_SKU37,0.001093840530431993
cat__sku_SKU88,0.0010488611891013924
cat__sku_SKU5,0.0009707502131504513
cat__sku_SKU38,0.0009357572648929628
cat__sku_SKU62,0.0009325457384778089
cat__sku_SKU56,0.0009306771821959788
cat__sku_SKU26,0.0008736435512530549
cat__sku_SKU95,0.0007625429744952895
cat__sku_SKU32,0.0007623980105863411
cat__sku_SKU58,0.0007598802214185933
cat__sku_SKU78,0.0007475681651123414
cat__sku_SKU93,0.0006972948989108692
cat__sku_SKU65,0.0006149581264447502
cat__sku_SKU81,0.0006017816782386807
cat__sku_SKU97,0.0004742523012360671
cat__sku_SKU68,0.0004497087010210983
cat__sku_SKU54,0.0004015638684663847
cat__sku_SKU15,0.00032144221246849583
cat__sku_SKU89,0.00032056389058249143
cat__sku_SKU9,0.00030203856567050216
cat__sku_SKU61,0.000296857674676218
cat__sku_SKU91,0.000276650649156334
cat__sku_SKU36,0.00021862149364776826
cat__sku_SKU75,0.0002126401599578518
cat__sku_SKU84,0.0002101636842535717
cat__sku_SKU25,0.000204980787867885
cat__sku_SKU42,0.00018744341578951374
cat__sku_SKU87,0.00018378446667435477
cat__sku_SKU50,0.00018232104632462157
cat__sku_SKU40,0.0001713619064546378
cat__sku_SKU8,0.0001552559749605376
cat__sku_SKU52,0.00013883025500245532
cat__sku_SKU28,0.00011573195826387687
cat__sku_SKU94,0.00010891932608373137
cat__sku_SKU19,9.810258800240367e-05
cat__sku_SKU13,8.332474853974286e-05
cat__sku_SKU21,7.972675164134768e-05
cat__sku_SKU60,7.277962981089707e-05
cat__sku_SKU41,6.442717307279641e-05
cat__sku_SKU35,5.930136178274409e-05
cat__sku_SKU20,4.686875772043358e-05
cat__sku_SKU48,4.575634715876275e-05
cat__sku_SKU34,4.418105569492692e-05
cat__sku_SKU2,3.8307117940290175e-05
cat__sku_SKU1,3.4507405999926034e-05
cat__sku_SKU16,3.349626984643286e-05
cat__sku_SKU47,2.6116802763610206e-05
cat__sku_SKU11,2.5426005130841048e-05
cat__sku_SKU96,2.498956516595423e-05
cat__sku_SKU85,2.3719080662900663e-05
cat__sku_SKU79,2.0470865532446718e-05
cat__sku_SKU14,1.861975268169747e-05
